NroTrx;customerid;total;useragentbrowser;useragentoperatingsystem;useragentdevice;diasem
P016487;34308;82;Chrome;Windows;other;Mie
P016488;41234;80;Chrome;Windows;other;Mie
P016489;55373;81.5;Safari;Mac OS X;other;Mie
P016490;38863;141;Chrome;Windows;other;Mie
P016491;55316;75.5;Chrome Mobile;Android;other;Mie
P016492;55347;74.5;Chrome;Windows;other;Mie
P016493;55372;53.5;Chrome;Windows;other;Mie
P016494;55219;54;Chrome;Mac OS X;other;Mie
P016495;55333;146.5;Chrome;Windows;other;Mie
P016496;33762;142.5;Chrome;Windows;other;Mie
P016497;46411;53;Chrome;Mac OS X;other;Mie
P016498;55385;135.5;Chrome Mobile iOS;iOS;iPad;Mie
P016499;39774;194;Chrome Mobile;Android;other;Mie
P016500;55387;111;Chrome;Windows;other;Mie
P016501;55375;94;Mobile Safari;WKWebView;iOS;Mie
P016502;34030;53.5;Mobile Safari;iOS;iPhone;Mie
P016503;55258;156;Chrome;Windows;other;Mie
P016504;55371;74;Chrome;Mac OS X;other;Mie
P016505;55299;78;Edge;Windows;other;Mie
P016506;55386;63;Chrome;Windows;other;Mie
P016507;34429;80.5;Chrome;Windows;other;Mie
P016508;48355;66.5;Chrome;Mac OS X;other;Mie
P016509;55369;67;Chrome;Windows;other;Mie
P016510;39886;184.5;Chrome;Windows;other;Mie
P016511;55388;149;Mobile Safari;iOS;iPhone;Mie
P016512;55351;53;Chrome Mobile;Android;other;Mie
P016513;35889;72;Chrome;Windows;other;Mie
P016514;37287;69;Chrome;Windows;other;Mie
P016515;55399;119;Mobile Safari;iOS;iPhone;Mie
P016516;55393;54;Edge;Windows;other;Mie
P016517;39106;67.5;Chrome Mobile;Android;other;Mie
P016518;55391;108;Chrome;Windows;other;Mie
P016519;43452;52.5;Chrome Mobile;Android;other;Mie
P016520;53929;84;Safari;Mac OS X;other;Mie
P016521;55402;104;Chrome;Windows;other;Mie
P016522;55416;55;Firefox;Windows;other;Mie
P016523;40383;74;Chrome;Windows;other;Mie
P016524;55404;94;Mobile Safari;iOS;iPhone;Mie
P016525;55368;125;Mobile Safari;iOS;iPhone;Mie
P016526;55397;56.5;Chrome;Windows;other;Mie
P016527;55133;82;Chrome;Windows;other;Mie
P016528;55395;124;Mobile Safari;iOS;iPhone;Mie
P016529;51721;54;Chrome;Windows;other;Mie
P016530;55366;66.5;Chrome;Windows;other;Mie
P016531;34694;158.5;Mobile Safari;iOS;iPhone;Mie
P016532;54412;116;Chrome;Windows;other;Mie
P016533;55359;137.5;Chrome;Mac OS X;other;Mie
P016534;33879;54;Chrome;Windows;other;Mie
P016535;55429;63;Chrome;Mac OS X;other;Mie
P016536;55361;106;Mobile Safari;iOS;iPhone;Mie
P016537;55341;107;Samsung Internet;Android;Samsung;Mie
P016538;55421;53;Chrome Mobile;Android;other;Mie
P016539;37626;167;Chrome Mobile;Android;other;Mie
P016540;55343;67;Chrome;Mac OS X;other;Mie
P016541;40736;162;Safari;Mac OS X;other;Mie
P016542;55317;124.5;Chrome Mobile;Android;other;Mie
P016543;37598;131;Chrome;Windows;other;Mie
P016544;55411;52;Chrome;Windows;other;Mie
P016545;55453;67.5;Mobile Safari;iOS;iPhone;Mie
P016546;55441;486;Mobile Safari;iOS;iPhone;Mie
P016547;35709;93;Mobile Safari;iOS;iPhone;Mie
P016548;55434;52.5;Chrome;Windows;other;Mie
P016549;55455;58;Chrome;Windows;other;Mie
P016550;43257;84.5;Chrome;Windows;other;Mie
P016551;55413;120.5;Chrome;Windows;other;Mie
P016552;35779;192.5;Chrome;Windows;other;Mie
P016553;55419;95;Mobile Safari;iOS;iPhone;Mie
P016554;55445;97.5;Chrome Mobile;Android;other;Mie
P016555;55440;87;Samsung Internet;Android;Samsung;Mie
P016556;53889;116;Edge;Windows;other;Mie
P016557;55422;93.5;Chrome;Windows;other;Mie
P016558;55457;97.5;Chrome Mobile;Android;other;Mie
P016559;46168;54;Chrome;Windows;other;Mie
P016560;55447;61;Firefox;Windows;other;Mie
P016561;55208;63;Chrome;Windows;other;Mie
P016562;55459;80;Chrome Mobile;Android;other;Mie
P016563;55127;138;Samsung Internet;Android;Samsung;Mie
P016564;55438;67.5;Chrome;Windows;other;Mie
P016565;55472;163;Mobile Safari;iOS;iPhone;Mie
P016566;55473;67;Chrome;Windows;other;Mie
P016567;54421;95;Chrome Mobile;Android;other;Mie
P016568;55189;231;Chrome;Windows;other;Mie
P016569;55396;105;Mobile Safari;iOS;iPhone;Mie
P016570;55458;121.5;Chrome;Windows;other;Mie
P016571;55444;52.5;Chrome;Windows;other;Mie
P016572;55290;80;Chrome;Windows;other;Mie
P016573;35429;280;Chrome Mobile;Android;other;Mie
P016574;55486;82;Mobile Safari;iOS;iPhone;Mie
P016575;55423;112;Chrome;Windows;other;Mie
P016576;55109;68;Chrome Mobile;Android;other;Mie
P016577;55403;66;Chrome;Windows;other;Mie
P016578;35164;209;Chrome;Windows;other;Mie
P016579;43307;84;Safari;Mac OS X;other;Mie
P016580;36363;76;Chrome;Windows;other;Mie
P016581;34074;78.5;Mobile Safari;iOS;iPhone;Mie
P016582;55498;67;Chrome Mobile;Android;other;Mie
P016583;45166;54;Chrome;Windows;other;Mie
P016584;55189;52;Chrome;Windows;other;Mie
P016585;55482;120;Mobile Safari;iOS;iPhone;Mie
P016586;55433;54.5;Mobile Safari;iOS;iPhone;Mie
P016587;55501;107;Chrome Mobile;Android;other;Mie
P016588;43484;66;Mobile Safari;iOS;iPhone;Mie
P016589;55481;87;Chrome;Windows;other;Mie
P016590;37616;67.5;Chrome;Windows;other;Mie
P016591;55499;205;Chrome;Windows;other;Mie
P016592;55489;80.5;Chrome Mobile;Android;other;Mie
P016593;55469;94;Chrome;Windows;other;Mie
P016594;55463;58;Chrome;Windows;other;Mie
P016595;54619;54;Chrome;Windows;other;Mie
P016596;55431;99;Chrome;Windows;other;Mie
P016597;55508;66.5;Mobile Safari;iOS;iPhone;Mie
P016598;55428;106.5;Chrome;Windows;other;Mie
P016599;53212;53.5;Chrome;Windows;other;Mie
P016600;55510;80;Chrome;Windows;other;Mie
P016601;53478;85;Chrome;Windows;other;Mie
P016602;55521;98.5;Chrome;Windows;other;Mie
P016603;44828;81;Chrome;Windows;other;Mie
P016604;55456;84;Chrome;Windows;other;Mie
P016605;55518;50;Mobile Safari;WKWebView;iOS;Mie
P016606;48256;67;Mobile Safari;iOS;iPhone;Mie
P016607;39163;146.5;Safari;Mac OS X;other;Mie
P016608;37979;177;Chrome;Windows;other;Mie
P016609;36663;77;Chrome;Windows;other;Mie
P016610;55468;66.5;Chrome;Windows;other;Mie
P016611;55505;134.5;Chrome;Windows;other;Mie
P016612;35909;72;Chrome;Windows;other;Mie
P016613;55417;53.5;Chrome;Mac OS X;other;Mie
P016614;40301;96;Mobile Safari;iOS;iPhone;Mie
P016615;42175;306.5;Chrome;Windows;other;Mie
P016616;55517;152;Chrome;Windows;other;Mie
P016617;55246;113.5;Chrome Mobile;Android;other;Mie
P016618;55283;58.5;Chrome;Windows;other;Mie
P016619;55520;53;Chrome;Windows;other;Mie
P016620;55420;75;Chrome Mobile;Android;other;Mie
P016621;55512;87;Mobile Safari;iOS;iPhone;Mie
P016622;55389;174;Chrome Mobile;Android;other;Mie
P016623;55527;85;Chrome;Windows;other;Mie
P016624;55478;66;Chrome;Windows;other;Mie
P016625;55530;194;Chrome Mobile;Android;other;Mie
P016626;35434;74.5;Chrome Mobile;Android;other;Mie
P016627;55524;67.5;Chrome;Mac OS X;other;Mie
P016628;55522;92.5;Chrome;Windows;other;Mie
P016629;39284;98.5;Mobile Safari;WKWebView;iOS;Mie
P016630;34444;65.5;Chrome;Windows;other;Mie
P016631;55539;84;Chrome Mobile;Android;other;Mie
P016632;55300;136;Mobile Safari;iOS;iPhone;Mie
P016633;34436;54;Mobile Safari;iOS;iPhone;Mie
P016634;55495;99;Facebook;Android;Samsung;Mie
P016635;33910;57;Chrome;Windows;other;Mie
P016636;55534;102;Samsung Internet;Android;Samsung;Mie
P016637;41611;57;Chrome;Windows;other;Mie
P016638;37485;105;Chrome;Windows;other;Mie
P016639;35760;85;Chrome Mobile iOS;iOS;iPhone;Mie
P016640;52396;66;Chrome;Windows;other;Mie
P016641;55544;53.5;Samsung Internet;Android;Samsung;Mie
P016642;55551;64;Mobile Safari;iOS;iPhone;Mie
P016643;53273;120;Chrome Mobile;Android;other;Mie
P016644;41891;101;Chrome Mobile;Android;other;Mie
P016645;41474;92.5;Chrome Mobile;Android;other;Mie
P016646;55563;71;Safari;Mac OS X;other;Mie
P016647;55325;77;Chrome;Windows;other;Mie
P016648;44332;79.5;Chrome;Windows;other;Mie
P016649;55536;67;Chrome;Windows;other;Mie
P016650;55560;59.5;Safari;Mac OS X;other;Mie
P016651;55550;142;Chrome;Windows;other;Mie
P016652;55552;104;Chrome;Windows;other;Mie
P016653;55556;104;Mobile Safari;iOS;iPhone;Mie
P016654;43615;52.5;Chrome;Windows;other;Mie
P016655;48982;53.5;Mobile Safari;iOS;iPhone;Mie
P016656;55548;102.5;Mobile Safari;iOS;iPhone;Mie
P016657;55542;106;Chrome;Windows;other;Mie
P016658;38718;67;Chrome;Windows;other;Mie
P016659;55546;76.5;Samsung Internet;Android;Samsung;Mie
P016660;55571;57;Mobile Safari;iOS;iPhone;Mie
P016661;55564;84;Mobile Safari;WKWebView;iOS;Mie
P016662;55566;79;Mobile Safari;WKWebView;iOS;Mie
P016663;35248;111.5;Chrome;Windows;other;Mie
P016664;55528;202;Mobile Safari;iOS;iPhone;Mie
P016665;55523;67;Edge;Windows;other;Mie
P016666;55574;88;Mobile Safari;iOS;iPhone;Mie
P016667;55576;67;Chrome Mobile iOS;iOS;iPhone;Mie
P016668;54876;74;Chrome Mobile;Android;other;Mie
P016669;55569;79;Chrome;Windows;other;Mie
P016670;55149;80;Chrome Mobile;Android;other;Mie
P016671;38460;61.5;Chrome;Windows;other;Mie
P016672;42332;80.5;Chrome;Windows;other;Mie
P016673;43894;80.5;Chrome;Mac OS X;other;Mie
P016674;51362;84;Facebook;Android;Samsung;Mie
P016675;55587;60;Mobile Safari;iOS;iPad;Mie
P016676;34255;170;Chrome;Windows;other;Mie
P016677;55586;97;Chrome Mobile;Android;other;Mie
P016678;44263;53;Chrome;Windows;other;Mie
P016679;53204;71;Chrome;Windows;other;Mie
P016680;50947;86;Mobile Safari;iOS;iPhone;Mie
P016681;55598;108;Safari;Mac OS X;other;Mie
P016682;55599;123.5;Chrome;Windows;other;Mie
P016683;38693;117;Chrome;Windows;other;Mie
P016684;55594;392;Edge;Windows;other;Mie
P016685;55143;139;Chrome Mobile;Android;other;Mie
P016686;35298;97.5;Chrome;Windows;other;Mie
P016687;55466;52;Chrome;Windows;other;Mie
P016688;55567;76.5;Facebook;Android;Samsung;Mie
P016689;55596;134.5;Chrome Mobile;Android;other;Mie
P016690;53827;84;Chrome;Windows;other;Mie
P016691;55526;137;Chrome;Windows;other;Mie
P016692;54301;61;Chrome;Windows;other;Mie
P016693;55617;125;Mobile Safari;iOS;iPhone;Mie
P016694;55565;132.5;Chrome Mobile;Android;other;Mie
P016695;55616;78.5;Chrome;Windows;other;Mie
P016696;55589;52;Chrome;Windows;other;Mie
P016697;55506;60.5;Chrome;Windows;other;Mie
P016698;54741;60;Chrome Mobile;Android;other;Mie
P016699;55540;66.5;Chrome;Windows;other;Mie
P016700;55609;136;Chrome Mobile;Android;other;Mie
P016701;55602;79.5;Chrome;Windows;other;Mie
P016702;55611;119;Mobile Safari;iOS;iPhone;Mie
P016703;34256;53.5;Chrome;Windows;other;Mie
P016704;55604;80;Chrome;Windows;other;Mie
P016705;55618;67.5;Chrome;Mac OS X;other;Mie
P016706;55625;118;Chrome;Windows;other;Mie
P016707;37572;154.5;Mobile Safari;iOS;iPhone;Mie
P016708;41637;69;Firefox;Windows;other;Mie
P016709;55597;55;Chrome;Mac OS X;other;Mie
P016710;49257;215;Chrome;Mac OS X;other;Mie
P016711;55533;84;Chrome Mobile;Android;other;Mie
P016712;55629;62;Mobile Safari;iOS;iPhone;Mie
P016713;55635;51;Chrome;Windows;other;Mie
P016714;55601;63;Chrome Mobile;Android;other;Mie
P016715;55446;65.5;Chrome;Windows;other;Mie
P016716;50975;55;Safari;Mac OS X;other;Mie
P016717;55507;107;Chrome Mobile;Android;other;Mie
P016718;55641;58.5;Chrome;Windows;other;Mie
P016719;55627;94.5;Chrome Mobile;Android;other;Mie
P016720;36814;51.5;Chrome;Windows;other;Mie
P016721;55286;128;Chrome;Windows;other;Mie
P016722;55632;135;Chrome;Windows;other;Mie
P016723;55314;65;Mobile Safari;iOS;iPhone;Mie
P016724;33728;52.5;Chrome;Windows;other;Mie
P016725;55653;108;Firefox;Windows;other;Mie
P016726;55638;57;Chrome;Windows;other;Mie
P016727;54426;55.5;Mobile Safari;iOS;iPhone;Mie
P016728;55642;80;Chrome Mobile;Android;other;Mie
P016729;48147;140;Chrome;Windows;other;Mie
P016730;49653;109;Edge;Windows;other;Mie
P016731;44431;95;Mobile Safari;iOS;iPhone;Mie
P016732;55652;85;Chrome Mobile;Android;other;Mie
P016733;55657;79.5;Mobile Safari;iOS;iPhone;Mie
P016734;55660;111.5;Chrome;Windows;other;Mie
P016735;49847;70;Chrome Mobile iOS;iOS;iPhone;Mie
P016736;55668;137.5;Chrome;Windows;other;Mie
P016737;52735;66.5;Chrome;Mac OS X;other;Mie
P016738;39278;110.5;Chrome;Windows;other;Mie
P016739;37853;98;Chrome;Windows;other;Mie
P016740;55636;75;Mobile Safari;iOS;iPhone;Mie
P016741;46904;67.5;Chrome;Windows;other;Mie
P016742;55691;142;Chrome Mobile;Android;other;Mie
P016743;45170;67;Safari;Mac OS X;other;Mie
P016744;44363;53.5;Chrome;Windows;other;Mie
P016745;55697;119;Mobile Safari;iOS;iPhone;Mie
P016746;39621;55;Samsung Internet;Android;Samsung;Mie
P016747;44328;53;Chrome;Windows;other;Mie
P016748;42697;150.5;Chrome;Windows;other;Mie
P016749;55663;59.5;Chrome Mobile;Android;other;Mie
P016750;55702;178;Mobile Safari;iOS;iPhone;Mie
P016751;55700;178.5;Chrome;Windows;other;Mie
P016752;38041;73;Chrome;Windows;other;Mie
P016753;35277;142.5;Safari;Mac OS X;other;Mie
P016754;35806;59.5;Chrome Mobile;Android;other;Mie
P016755;36002;153.5;Chrome;Windows;other;Mie
P016756;55706;309;Mobile Safari;iOS;iPhone;Mie
P016757;33957;87;Mobile Safari;iOS;iPhone;Mie
P016758;54548;106;Chrome;Windows;other;Mie
P016759;55570;106;Samsung Internet;Android;Samsung;Mie
P016760;55696;201;Chrome;Mac OS X;other;Mie
P016761;55679;97;Chrome;Windows;other;Mie
P016762;33980;220.5;Samsung Internet;Android;Samsung;Mie
P016763;38838;67.5;Chrome;Windows;other;Mie
P016764;55711;105;Mobile Safari;iOS;iPhone;Mie
P016765;55692;178;Chrome;Mac OS X;other;Mie
P016766;36278;89;Chrome;Windows;other;Mie
P016767;52198;109.5;Chrome;Windows;other;Mie
P016768;55703;97.5;Chrome;Windows;other;Mie
P016769;35315;66.5;Chrome;Windows;other;Mie
P016770;55714;100;Chrome;Windows;other;Mie
P016771;41164;53.5;Chrome;Windows;other;Mie
P016772;46602;53.5;Mobile Safari;iOS;iPhone;Mie
P016773;55701;283;Edge;Windows;other;Mie
P016774;55718;152;Chrome;Windows;other;Mie
P016775;55717;60.5;Chrome Mobile;Android;other;Mie
P016776;39550;54;Chrome Mobile;Android;other;Mie
P016777;55726;83.5;Chrome Mobile;Android;other;Mie
P016778;55094;53.5;Chrome;Windows;other;Mie
P016779;55712;68.5;Chrome Mobile;Android;LG;Mie
P016780;55727;101;Mobile Safari;iOS;iPhone;Mie
P016781;55592;94.5;Chrome;Windows;other;Mie
P016782;55690;121;Chrome;Windows;other;Mie
P016783;55640;161;Chrome;Windows;other;Mie
P016784;35453;146;Facebook;Android;Samsung;Mie
P016785;39514;84.5;Chrome;Windows;other;Mie
P016786;37264;65;Mobile Safari;iOS;iPhone;Mie
P016787;55738;109;Chrome Mobile;Android;other;Mie
P016788;55736;175.5;Chrome;Windows;other;Mie
P016789;55737;81;Chrome;Windows;other;Mie
P016790;55734;135;Mobile Safari;iOS;iPhone;Mie
P016791;55496;67;Chrome;Mac OS X;other;Mie
P016792;39394;105.5;Mobile Safari;iOS;iPhone;Mie
P016793;54547;54.5;Mobile Safari;iOS;iPad;Mie
P016794;55747;61;Chrome;Windows;other;Mie
P016795;55748;127.5;Chrome;Windows;other;Mie
P016796;55739;167;Chrome Mobile;Android;other;Mie
P016797;54188;145.5;Chrome;Windows;other;Mie
P016798;36418;110.5;Firefox;Ubuntu;other;Mie
P016799;55744;142;Facebook;Android;other;Mie
P016800;55740;53;Chrome;Windows;other;Mie
P016801;55749;147;Mobile Safari;iOS;iPhone;Mie
P016802;55754;81;Mobile Safari;WKWebView;iOS;Mie
P016803;55708;108;Chrome;Windows;other;Mie
P016804;55716;78;Samsung Internet;Android;Samsung;Mie
P016805;55723;53.5;Chrome Mobile;Android;other;Mie
P016806;55745;117.5;Safari;Mac OS X;other;Mie
P016807;52660;110.5;Chrome;Windows;other;Mie
P016808;55759;120.5;Safari;Mac OS X;other;Mie
P016809;47872;75.5;Chrome Mobile;Android;other;Mie
P016810;55761;160.5;Chrome;Windows;other;Mie
P016811;55769;79;Chrome;Windows;other;Mie
P016812;55758;67.5;Mobile Safari;iOS;iPhone;Mie
P016813;55766;111;Chrome Mobile;Android;other;Mie
P016814;38769;56.5;Firefox;Windows;other;Mie
P016815;55762;66;Chrome Mobile;Android;other;Mie
P016816;55772;54;Edge;Windows;other;Mie
P016817;55750;80;Chrome Mobile iOS;iOS;iPhone;Mie
P016818;35364;111;Chrome;Windows;other;Mie
P016819;55768;96;Chrome;Windows;other;Mie
P016820;44855;82.5;Mobile Safari;iOS;iPhone;Mie
P016821;35244;74;Firefox;Windows;other;Mie
P016822;54646;53.5;Chrome Mobile;Android;other;Mie
P016823;48569;197;Mobile Safari;iOS;iPhone;Mie
P016824;44707;60;Chrome;Windows;other;Mie
P016825;55777;53;Chrome Mobile;Android;other;Mie
P016826;55782;50.5;Chrome;Windows;other;Mie
P016827;55302;145;Chrome;Windows;other;Mie
P016828;45004;52.5;Chrome;Mac OS X;other;Mie
P016829;55770;200.5;Mobile Safari;iOS;iPhone;Mie
P016830;55767;55;Chrome Mobile iOS;iOS;iPhone;Mie
P016831;55633;96;Chrome;Windows;other;Mie
P016832;55773;65.5;Mobile Safari;iOS;iPhone;Mie
P016833;45868;66.5;Chrome;Windows;other;Mie
P016834;55781;96.5;Chrome;Linux;other;Mie
P016835;55730;174.5;Chrome;Windows;other;Mie
P016836;43898;271;Chrome;Windows;other;Mie
P016837;55779;63;Samsung Internet;Android;Samsung;Mie
P016838;55794;91.5;Chrome;Windows;other;Mie
P016839;55780;65.5;Mobile Safari;iOS;iPhone;Mie
P016840;35038;56;Safari;Mac OS X;other;Mie
P016841;55801;100.5;Chrome Mobile;Android;other;Mie
P016842;55804;79;Chrome Mobile;Android;other;Mie
P016843;55791;55;Facebook;Android;other;Mie
P016844;33899;68;Chrome Mobile;Android;other;Mie
P016845;50754;140;Chrome;Mac OS X;other;Mie
P016846;55695;166;Chrome;Windows;other;Mie
P016847;43864;88;Chrome;Chrome OS;other;Mie
P016848;55812;135;Chrome Mobile;Android;other;Mie
P016849;40308;179;Mobile Safari;iOS;iPhone;Mie
P016850;55795;84;Chrome Mobile;Android;LG;Mie
P016851;39502;96;Chrome Mobile;Android;other;Mie
P016852;35055;54.5;Chrome Mobile;Android;other;Mie
P016853;55823;52;Chrome;Windows;other;Mie
P016854;48782;129.5;Chrome Mobile;Android;other;Mie
P016855;54967;55;Chrome;Windows;other;Mie
P016856;55709;152;Samsung Internet;Android;Samsung;Mie
P016857;55730;171;Chrome;Windows;other;Mie
P016858;55827;122;Safari;Mac OS X;other;Mie
P016859;55722;81.5;Chrome;Windows;other;Mie
P016860;55806;57;Safari;Mac OS X;other;Mie
P016861;55824;189.5;Chrome;Windows;other;Mie
P016862;55831;80;Chrome Mobile;Android;other;Mie
P016863;55828;94;Chrome;Windows;other;Mie
P016864;55778;107;Chrome;Windows;other;Mie
P016865;55821;129.5;Chrome;Windows;other;Mie
P016866;55829;96;Chrome;Windows;other;Mie
P016867;55755;124;Mobile Safari;iOS;iPhone;Mie
P016868;55837;80.5;Chrome;Windows;other;Mie
P016869;55836;54;Chrome Mobile;Android;other;Mie
P016870;55846;67;Chrome;Windows;other;Mie
P016871;55765;153;Chrome Mobile WebView;Android;other;Mie
P016872;55720;134;Chrome;Windows;other;Mie
P016873;55694;92.5;Chrome;Mac OS X;other;Mie
P016874;55849;95;Safari;Mac OS X;other;Mie
P016875;55851;100.5;Chrome;Windows;other;Mie
P016876;41206;68.5;Chrome;Windows;other;Mie
P016877;55838;84;Chrome Mobile;Android;other;Mie
P016878;55840;216;Mobile Safari;iOS;iPhone;Mie
P016879;33865;53.5;Mobile Safari;iOS;iPhone;Mie
P016880;55807;85;Chrome;Windows;other;Mie
P016881;55842;66.5;Chrome;Windows;other;Mie
P016882;55852;61;Chrome Mobile;Android;other;Mie
P016883;55855;52;Chrome;Windows;other;Mie
P016884;55858;88.5;Mobile Safari;iOS;iPhone;Mie
P016885;35980;104;Mobile Safari;iOS;iPad;Mie
P016886;55857;121.5;Chrome Mobile;Android;other;Mie
P016887;55869;108.5;Mobile Safari;iOS;iPhone;Mie
P016888;55866;71;Chrome;Windows;other;Mie
P016889;55848;81;Chrome;Windows;other;Mie
P016890;41970;68;Chrome;Windows;other;Mie
P016891;55868;68.5;Chrome Mobile;Android;other;Mie
P016892;55861;53;Facebook;Android;Samsung;Mie
P016893;34709;92;Chrome;Windows;other;Mie
P016894;55873;60;Chrome;Windows;other;Mie
P016895;55859;185;Chrome;Windows;other;Mie
P016896;55011;86.5;Chrome Mobile;Android;other;Mie
P016897;55876;98;Chrome;Windows;other;Mie
P016898;55881;74.5;Mobile Safari;iOS;iPhone;Mie
P016899;55880;82;Chrome;Chrome OS;other;Mie
P016900;34766;54;Chrome Mobile;Android;other;Mie
P016901;55053;107;Chrome;Windows;other;Mie
P016902;55864;53.5;Chrome;Android;other;Mie
P016903;55854;118.5;Chrome;Windows;other;Mie
P016904;55883;245.5;Chrome;Mac OS X;other;Mie
P016905;44906;56;Chrome;Windows;other;Mie
P016906;51278;53;Chrome Mobile;Android;other;Mie
P016907;35789;131;Chrome;Windows;other;Mie
P016908;52627;132;Mobile Safari;iOS;iPhone;Mie
P016909;41765;68;Mobile Safari;iOS;iPhone;Mie
P016910;55671;55;Mobile Safari;iOS;iPhone;Mie
P016911;55789;203.5;Firefox;Mac OS X;other;Mie
P016912;55890;61;Chrome;Windows;other;Mie
P016913;42177;104;Chrome;Windows;other;Mie
P016914;40388;136;Safari;Mac OS X;other;Mie
P016915;55886;227;Chrome;Windows;other;Mie
P016916;34441;124;Chrome;Windows;other;Mie
P016917;34655;169.5;Mobile Safari;iOS;iPhone;Mie
P016918;54370;68;Chrome Mobile;Android;other;Mie
P016919;55817;129;Chrome Mobile;Android;other;Mie
P016920;55628;66.5;Chrome;Windows;other;Mie
P016921;51477;108;Chrome;Windows;other;Mie
P016922;55878;120.5;Chrome;Windows;other;Mie
P016923;55911;123;Chrome Mobile;Android;other;Mie
P016924;55909;55;Chrome Mobile;Android;other;Mie
P016925;34850;99;Mobile Safari;iOS;iPhone;Mie
P016926;55912;72;Mobile Safari;iOS;iPhone;Mie
P016927;55900;57;Safari;Mac OS X;other;Mie
P016928;55897;55.5;Chrome;Windows;other;Mie
P016929;55910;98;Facebook;Android;Samsung;Mie
P016930;34209;54;Mobile Safari;WKWebView;iOS;Mie
P016931;50796;93;Mobile Safari;iOS;iPhone;Mie
P016932;38486;53.5;Chrome Mobile;Android;other;Mie
P016933;55913;135;Samsung Internet;Android;Samsung;Mie
P016934;55917;67;Chrome Mobile iOS;iOS;iPhone;Mie
P016935;55902;54.5;Chrome;Windows;other;Mie
P016936;55916;54;Chrome Mobile;Android;other;Mie
P016937;34907;119;Chrome;Android;other;Mie
P016938;38452;65;Chrome Mobile;Android;other;Mie
P016939;33748;149.5;Edge;Windows;other;Mie
P016940;55920;108;Chrome;Windows;other;Mie
P016941;55637;101;Chrome;Windows;other;Mie
P016942;40985;127;Chrome Mobile;Android;other;Mie
P016943;55929;68;Chrome Mobile;Android;Nokia;Mie
P016944;55261;122;Mobile Safari;iOS;iPhone;Mie
P016945;55634;130.5;Chrome Mobile;Android;other;Mie
P016946;55925;165.5;Mobile Safari;iOS;iPhone;Mie
P016947;55921;270;Mobile Safari;iOS;iPhone;Mie
P016948;55904;179;Chrome;Windows;other;Mie
P016949;55938;100.5;Mobile Safari;iOS;iPhone;Mie
P016950;55937;80;Mobile Safari;iOS;iPhone;Mie
P016951;55580;53;Chrome;Windows;other;Mie
P016952;55905;112.5;Chrome Mobile;Android;other;Mie
P016953;50130;119.5;Mobile Safari;iOS;iPhone;Mie
P016954;55935;213;Mobile Safari;iOS;iPhone;Mie
P016955;44548;120;Chrome;Windows;other;Mie
P016956;38943;103.5;Mobile Safari;WKWebView;iOS;Mie
P016957;52135;67.5;Chrome Mobile;Android;other;Mie
P016958;49042;54.5;Chrome;Windows;other;Mie
P016959;36332;113;Chrome;Windows;other;Mie
P016960;55941;72.5;Chrome;Windows;other;Mie
P016961;55932;68;Chrome;Windows;other;Mie
P016962;54096;52.5;Chrome;Windows;other;Mie
P016963;40501;300.5;Chrome;Windows;other;Mie
P016964;55948;62.5;Chrome;Windows;other;Mie
P016965;54314;67;Chrome;Windows;other;Mie
P016966;55951;123.5;Chrome;Mac OS X;other;Mie
P016967;55952;88;Chrome;Windows;other;Mie
P016968;55954;68;Chrome Mobile;Android;other;Mie
P016969;55955;104;Safari;Mac OS X;other;Mie
P016970;46601;144.5;Chrome;Windows;other;Mie
P016971;55949;66.5;Safari;Mac OS X;other;Mie
P016972;34614;73;Chrome Mobile;Android;other;Mie
P016973;35986;78.5;Chrome;Windows;other;Mie
P016974;43397;52;Chrome;Windows;other;Mie
P016975;54901;242;Chrome;Windows;other;Mie
P016976;41662;67.5;Mobile Safari;iOS;iPhone;Mie
P016977;42419;168;Edge;Windows;other;Mie
P016978;40419;53.5;Chrome;Windows;other;Mie
P016979;55963;156;Chrome Mobile;Android;other;Mie
P016980;55958;54.5;Mobile Safari;iOS;iPhone;Mie
P016981;38990;100;Safari;Mac OS X;other;Mie
P016982;55969;65;Chrome;Windows;other;Mie
P016983;54871;117;Samsung Internet;Android;Samsung;Mie
P016984;52253;53.5;Chrome;Windows;other;Mie
P016985;46925;182;Mobile Safari;iOS;iPhone;Mie
P016986;55966;74;Mobile Safari;iOS;iPhone;Mie
P016987;53880;54;Chrome;Windows;other;Mie
P016988;55974;53;Chrome Mobile;Android;other;Mie
P016989;55972;67;Mobile Safari;WKWebView;iOS;Mie
P016990;54327;94;Chrome;Windows;other;Mie
P016991;38856;66.5;Chrome Mobile;Android;other;Mie
P016992;55983;51.5;Chrome;Windows;other;Mie
P016993;55980;54;Mobile Safari;iOS;iPhone;Mie
P016994;55970;97.5;Mobile Safari;iOS;iPhone;Mie
P016995;55975;73;Chrome;Windows;other;Mie
P016996;55892;92;Chrome;Mac OS X;other;Mie
P016997;36574;110.5;Mobile Safari;iOS;iPhone;Mie
P016998;55984;79.5;Mobile Safari;iOS;iPhone;Mie
P016999;55976;57;Edge;Windows;other;Mie
P017000;55981;59;Mobile Safari;iOS;iPhone;Mie
P017001;41022;85;Chrome;Windows;other;Mie
P017002;55991;150;Mobile Safari;iOS;iPhone;Mie
P017003;55583;100;Chrome;Windows;other;Mie
