NroTrx;customerid;total;useragentbrowser;useragentoperatingsystem;useragentdevice;diasem
P025845;50770;204;Chrome Mobile iOS;iOS;iPhone;Vie
P025846;65485;54;Chrome;Mac OS X;other;Vie
P025847;42018;122.5;Chrome Mobile;Android;other;Vie
P025848;43267;114;Chrome Mobile;Android;LG;Vie
P025849;48528;57;Safari;Mac OS X;other;Vie
P025850;65478;60;Chrome Mobile iOS;iOS;iPhone;Vie
P025851;40070;88;Chrome;Mac OS X;other;Vie
P025852;35626;100;Mobile Safari;iOS;iPhone;Vie
P025853;58798;177;Chrome Mobile iOS;iOS;iPhone;Vie
P025854;41500;193;Safari;Mac OS X;other;Vie
P025855;40588;107;Mobile Safari;iOS;iPhone;Vie
P025856;41602;90;Chrome;Windows;other;Vie
P025857;52917;111;Mobile Safari;iOS;iPhone;Vie
P025858;65495;60.5;Chrome;Windows;other;Vie
P025859;39598;167;Chrome;Windows;other;Vie
P025860;41428;84;Chrome;Windows;other;Vie
P025861;49624;156;Mobile Safari;iOS;iPhone;Vie
P025862;65477;107.5;Firefox;Windows;other;Vie
P025863;44293;135;Chrome;Windows;other;Vie
P025864;53273;84;Chrome Mobile;Android;other;Vie
P025865;37048;55;Chrome;Windows;other;Vie
P025866;65278;68;Chrome;Windows;other;Vie
P025867;35211;73;Mobile Safari;iOS;iPhone;Vie
P025868;65492;66.5;Chrome;Windows;other;Vie
P025869;40397;120;Mobile Safari;iOS;iPhone;Vie
P025870;42151;132.5;Chrome;Windows;other;Vie
P025871;57887;78;Chrome Mobile;Android;HTC;Vie
P025872;51586;109.5;Chrome Mobile;Android;other;Vie
P025873;65497;124;Chrome;Windows;other;Vie
P025874;65474;80;Chrome Mobile;Android;other;Vie
P025875;39421;75.5;Chrome Mobile;Android;other;Vie
P025876;65507;84;Safari;Mac OS X;other;Vie
P025877;44510;68;Chrome;Windows;other;Vie
P025878;65437;70.5;Firefox;Fedora;other;Vie
P025879;65505;59;Mobile Safari;iOS;iPhone;Vie
P025880;50945;66;Chrome;Windows;other;Vie
P025881;65503;57;Facebook;Android;other;Vie
P025882;65514;61.5;Chrome;Windows;other;Vie
P025883;65516;51.5;Chrome;Windows;other;Vie
P025884;65486;121;Mobile Safari;iOS;iPhone;Vie
P025885;60747;125;Chrome;Windows;other;Vie
P025886;65427;150.5;Chrome;Windows;other;Vie
P025887;65363;57;Chrome;Windows;other;Vie
P025888;36526;53.5;Chrome;Windows;other;Vie
P025889;57186;70;Chrome;Windows;other;Vie
P025890;65508;119;Chrome;Windows;other;Vie
P025891;65504;152;Chrome;Windows;other;Vie
P025892;65487;70.5;Chrome;Mac OS X;other;Vie
P025893;43779;63;Samsung Internet;Android;Samsung;Vie
P025894;39049;99;Edge;Windows;other;Vie
P025895;48885;53;Chrome Mobile;Android;other;Vie
P025896;65512;191;Chrome Mobile;Android;other;Vie
P025897;44517;92;Chrome Mobile;Android;other;Vie
P025898;49777;54;Chrome;Windows;other;Vie
P025899;65524;107;Safari;Mac OS X;other;Vie
P025900;40764;140.5;Chrome;Windows;other;Vie
P025901;65525;85;Chrome Mobile;Android;other;Vie
P025902;35792;147.5;Chrome;Windows;other;Vie
P025903;65465;125.5;Mobile Safari;iOS;iPhone;Vie
P025904;36934;227;Samsung Internet;Android;Samsung;Vie
P025905;65526;148.5;Chrome;Windows;other;Vie
P025906;39211;54;Chrome;Windows;other;Vie
P025907;51170;279;Chrome;Windows;other;Vie
P025908;43368;81.5;Chrome Mobile;Android;other;Vie
P025909;65517;151;Mobile Safari;iOS;iPhone;Vie
P025910;34988;181.5;Mobile Safari;iOS;iPad;Vie
P025911;65539;52.5;Chrome Mobile;Android;other;Vie
P025912;65540;106.5;Mobile Safari;iOS;iPhone;Vie
P025913;34192;106.5;Chrome;Windows;other;Vie
P025914;47893;109.5;Chrome;Windows;other;Vie
P025915;65547;66;Chrome;Windows;other;Vie
P025916;41088;66.5;Chrome;Windows;other;Vie
P025917;43623;61;Chrome;Windows;other;Vie
P025918;65543;51.5;Mobile Safari;iOS;iPhone;Vie
P025919;49078;54;Chrome;Windows;other;Vie
P025920;65535;135;Chrome;Windows;other;Vie
P025921;65549;79.5;Chrome Mobile;Android;other;Vie
P025922;65509;105;Chrome Mobile;Android;other;Vie
P025923;50945;52.5;Chrome;Windows;other;Vie
P025924;44798;58;Firefox;Windows;other;Vie
P025925;52924;124;Chrome Mobile;Android;other;Vie
P025926;65473;55;Chrome;Windows;other;Vie
P025927;65550;80;Chrome Mobile;Android;other;Vie
P025928;65566;97;Chrome;Windows;other;Vie
P025929;65538;108.5;Chrome Mobile;Android;other;Vie
P025930;43479;53;Chrome;Windows;other;Vie
P025931;65534;53.5;Firefox;Windows;other;Vie
P025932;65553;79;Mobile Safari;iOS;iPhone;Vie
P025933;65563;423.5;Chrome;Windows;other;Vie
P025934;48762;103.5;Chrome;Windows;other;Vie
P025935;65544;190;Mobile Safari;iOS;iPhone;Vie
P025936;65251;94;Chrome Mobile;Android;other;Vie
P025937;39942;182;Mobile Safari;iOS;iPhone;Vie
P025938;41146;73;Chrome;Windows;other;Vie
P025939;51564;71;Chrome;Windows;other;Vie
P025940;65569;93;Mobile Safari;iOS;iPhone;Vie
P025941;46700;137;Chrome Mobile;Android;other;Vie
P025942;35594;53;Mobile Safari;iOS;iPhone;Vie
P025943;37128;159;Chrome Mobile;Android;other;Vie
P025944;40168;313;Safari;Mac OS X;other;Vie
P025945;59232;124;Chrome;Windows;other;Vie
P025946;58491;86.5;Chrome;Windows;other;Vie
P025947;46051;148;Chrome Mobile;Android;other;Vie
P025948;65383;222;Chrome;Windows;other;Vie
P025949;51919;159;Chrome;Windows;other;Vie
P025950;65390;79;Chrome;Windows;other;Vie
P025951;43888;77.5;Mobile Safari;iOS;iPhone;Vie
P025952;65573;80.5;Edge;Windows;other;Vie
P025953;40542;53.5;Chrome;Windows;other;Vie
P025954;63872;105.5;Chrome;Windows;other;Vie
P025955;65582;67.5;Chrome;Windows;other;Vie
P025956;47514;53;Chrome;Windows;other;Vie
P025957;65592;63;Chrome;Windows;other;Vie
P025958;65558;53.5;Edge;Windows;other;Vie
P025959;47214;55;Chrome;Windows;other;Vie
P025960;62759;52.5;Safari;Mac OS X;other;Vie
P025961;65581;178.5;Mobile Safari;iOS;iPhone;Vie
P025962;55016;94.5;Chrome Mobile;Android;other;Vie
P025963;55916;66;Chrome Mobile;Android;other;Vie
P025964;48968;67;Safari;Mac OS X;other;Vie
P025965;65590;68;Firefox;Windows;other;Vie
P025966;48082;178;Chrome;Windows;other;Vie
P025967;52687;51.5;Chrome;Windows;other;Vie
P025968;40444;66;Mobile Safari;iOS;iPhone;Vie
P025969;65591;66.5;Mobile Safari;iOS;iPhone;Vie
P025970;35489;103.5;Chrome;Windows;other;Vie
P025971;65594;51;Chrome;Windows;other;Vie
P025972;65598;84;Mobile Safari;iOS;iPhone;Vie
P025973;47495;87;Chrome Mobile;Android;other;Vie
P025974;65595;54;Chrome;Windows;other;Vie
P025975;42020;114;Edge;Windows;other;Vie
P025976;65580;54;Chrome;Windows;other;Vie
P025977;36229;69.5;Chrome;Windows;other;Vie
P025978;63610;51.5;Chrome;Windows;other;Vie
P025979;40542;68;Chrome;Windows;other;Vie
P025980;56240;59;Chrome;Windows;other;Vie
P025981;40699;121;Chrome;Windows;other;Vie
P025982;63446;62.5;Safari;Mac OS X;other;Vie
P025983;59885;80;Chrome;Windows;other;Vie
P025984;35002;66.5;Chrome;Windows;other;Vie
P025985;51384;68.5;Chrome Mobile;Android;other;Vie
